@,.,.,.,#,#,.,#,#,.,#,@,.,@,., ,#,.,@,.,.,#,.,.,#,.,.,.,@,@,.,.,@,#,@,.,.,@,#,.,.,#,.,.,.,.,@,.,.,.,
.,.,.,#,#,.,#,#,@,#,@,#,.,#,.,#, ,.,#,.,.,#,.,@,.,.,.,.,.,.,#,#,.,@,.,#,@,.,.,.,#,#,@,#,#,.,#,#,.,.,
.,@,@,.,#,#,.,.,.,@,.,@,.,@,#,#,#, ,.,#,.,#,.,.,.,#,@,#,.,#,.,.,.,@,#,.,.,.,.,@,#,.,#,#,#,.,.,@,#,@,
#,#,#,.,.,.,.,#,#,.,.,.,.,#,.,.,.,#, ,#,.,.,.,@,@,.,.,.,.,.,.,.,.,.,.,@,.,.,@,@,.,.,#,#,.,#,.,.,.,.,
.,#,.,.,.,.,.,@,.,#,.,.,.,#,.,.,#,.,#, ,.,.,#,@,#,.,.,.,.,#,@,.,.,.,.,.,.,.,.,.,#,#,.,.,@,.,#,@,.,.,
.,#,@,#,#,#,#,.,.,#,.,@,.,.,.,.,.,.,.,., ,.,.,.,.,.,@,@,#,.,.,.,@,#,@,.,.,.,.,#,.,.,#,#,.,.,#,#,.,#,
@,#,#,.,.,.,@,#,.,.,.,.,#,.,@,.,.,@,.,.,., ,.,.,.,.,.,.,.,.,#,.,#,#,@,@,.,#,.,.,.,.,.,.,.,.,#,.,.,.,
@,.,#,.,.,@,.,.,#,.,.,#,.,.,#,.,.,.,.,.,#,., ,.,#,#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,@,.,@,.,.,.,@,.,
#,@,@,.,.,.,.,#,.,#,.,#,.,@,.,.,#,@,.,.,.,#,., ,.,#,.,.,#,.,.,.,@,.,.,.,#,.,.,@,#,#,@,.,.,.,.,#,.,.,
.,#,.,#,.,.,#,.,.,@,.,.,#,.,#,.,#,.,#,.,@,#,.,., ,.,#,#,@,#,#,@,.,.,@,.,@,#,#,#,#,.,.,.,.,.,#,.,#,@,
.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,@,@,.,.,#,#,.,.,.,., ,.,.,.,.,#,.,#,@,.,.,.,.,#,.,@,.,.,.,#,.,@,.,.,.,
.,.,.,#,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,@,.,#,.,.,., ,#,.,.,.,.,.,#,.,.,@,@,.,.,.,.,.,.,#,.,@,.,.,.,
@,.,.,#,@,.,#,@,@,.,.,#,.,@,.,@,.,.,.,.,.,@,.,.,#,@,., ,.,#,#,.,#,.,.,.,@,.,.,#,.,#,#,@,.,.,.,.,#,@,
#,@,.,.,.,.,#,.,.,.,.,@,.,@,#,.,.,.,.,.,@,.,.,#,@,.,.,#, ,#,#,.,.,.,.,.,.,#,#,.,.,#,.,.,#,#,@,.,#,.,
.,.,.,.,#,.,.,.,.,.,.,#,.,#,#,.,.,.,#,#,@,.,.,.,.,.,.,.,#, ,.,.,#,.,@,#,#,#,#,.,#,.,.,.,.,.,#,#,@,#,
.,#,.,#,#,#,.,.,@,#,.,.,.,.,#,@,.,.,.,.,#,@,.,#,.,@,#,.,.,., ,#,#,#,#,.,.,.,.,@,.,.,.,.,.,.,#,.,.,.,
.,.,@,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,@,.,.,.,.,.,#, ,@,.,.,#,.,#,.,#,.,#,.,.,.,.,#,@,#,#,
.,#,.,.,.,.,#,#,.,@,.,.,.,.,@,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,., ,.,.,.,#,.,.,.,.,@,.,.,.,.,#,.,.,#,
#,.,#,#,#,@,#,.,#,.,.,.,.,.,#,.,#,#,.,#,.,.,.,@,#,@,.,.,#,#,.,.,@, ,.,@,.,.,.,#,#,@,#,#,.,.,.,.,.,#,
.,.,@,.,.,#,.,@,#,.,.,@,.,#,.,@,@,@,#,.,.,.,#,.,#,#,.,#,#,.,.,.,.,., ,#,@,#,.,.,#,.,.,#,#,@,.,.,#,.,
.,.,.,.,.,@,#,.,.,.,.,.,@,.,.,#,#,.,.,#,#,@,.,#,@,#,.,#,#,.,.,.,#,.,., ,@,.,.,#,@,#,@,.,@,.,#,.,@,.,
.,#,.,.,.,@,.,@,.,#,#,.,@,.,@,#,.,.,.,#,.,.,.,#,#,.,.,#,@,.,.,#,#,.,.,., ,.,@,.,#,.,.,.,#,.,.,.,.,#,
@,#,.,@,.,@,@,.,#,#,@,#,@,.,.,.,.,.,.,#,.,#,.,@,#,#,.,#,.,.,@,.,.,.,#,@,., ,.,#,#,@,.,#,@,@,.,.,#,@,
.,.,.,#,#,.,.,.,.,@,.,.,.,.,.,#,.,.,#,.,@,.,@,.,.,.,@,#,.,#,.,.,.,@,#,#,@,., ,.,.,.,.,.,.,.,@,.,.,#,
.,.,.,#,.,#,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#,#,.,@,.,.,#,#,.,#,@,#,.,#, ,.,@,@,#,@,.,.,.,#,.,
.,.,.,.,#,#,.,.,.,@,@,.,@,#,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,@,.,., ,.,.,.,.,.,#,.,@,@,
#,#,.,.,.,@,@,@,@,.,&,.,.,.,.,#,.,.,#,#,.,.,@,#,#,#,#,#,.,.,.,.,#,.,.,#,#,#,#,#,#, ,.,#,.,@,#,.,.,.,
.,.,@,.,#,.,#,.,.,@,.,#,.,.,.,#,.,.,@,.,.,.,#,.,.,.,.,@,.,#,.,.,.,.,.,#,.,#,.,.,#,@, ,#,#,#,@,#,.,.,
.,.,.,.,.,.,@,#,#,#,.,.,.,@,.,#,.,#,#,.,#,.,.,.,.,.,@,.,#,#,.,@,.,.,.,.,.,#,.,#,@,.,@, ,#,.,.,#,@,#,
.,.,@,.,.,#,.,.,@,.,.,.,#,#,.,.,@,.,.,.,.,@,#,.,.,.,.,.,.,.,.,.,.,@,.,.,.,.,.,.,@,#,.,#, ,.,.,.,.,.,
.,.,#,.,#,#,.,.,.,.,.,#,#,.,.,#,.,.,@,.,.,#,#,.,.,.,#,.,#,#,.,#,#,.,#,#,.,.,.,.,.,.,.,.,., ,.,.,#,.,
.,@,@,.,#,.,.,.,.,.,.,.,#,@,.,.,@,#,#,.,.,.,.,.,@,@,@,.,.,.,@,.,.,.,#,.,#,.,.,#,.,.,@,.,.,., ,.,.,#,
#,.,#,.,.,.,.,#,.,@,.,.,.,.,@,.,#,#,#,.,@,.,#,.,#,#,#,#,.,.,#,.,.,#,.,#,#,.,.,.,.,.,#,#,#,.,., ,.,.,
#,.,@,.,.,#,.,#,.,.,.,#,.,.,.,.,@,.,.,#,.,#,.,@,#,.,.,@,.,.,.,.,.,#,.,.,.,.,#,#,.,@,#,.,.,#,.,., ,.,
.,.,#,#,.,.,#,.,.,#,.,.,#,.,@,@,.,.,.,.,@,.,.,#,.,.,.,.,#,.,.,@,.,.,@,.,#,.,.,.,.,#,@,.,.,#,.,.,.
